id,name,generation,type_1,type_2,ability_1,ability_2,hidden_ability,is_legendary,hp,atk,def,sp_atk,sp_def,speed,total
1,bulbasaur,1,grass,poison,overgrow,,chlorophyll,0,45,49,49,65,65,45,318
2,ivysaur,1,grass,poison,overgrow,,chlorophyll,0,60,62,63,80,80,60,405
3,venusaur,1,grass,poison,overgrow,,chlorophyll,0,80,82,83,100,100,80,525
4,charmander,1,fire,,blaze,,solar-power,0,39,52,43,60,50,65,309
5,charmeleon,1,fire,,blaze,,solar-power,0,58,64,58,80,65,80,405
6,charizard,1,fire,flying,blaze,,solar-power,0,78,84,78,109,85,100,534
7,squirtle,1,water,,torrent,,rain-dish,0,44,48,65,50,64,43,314
8,wartortle,1,water,,torrent,,rain-dish,0,59,63,80,65,80,58,405
9,blastoise,1,water,,torrent,,rain-dish,0,79,83,100,85,105,78,530
10,caterpie,1,bug,,shield-dust,,run-away,0,45,30,35,20,20,45,195
11,metapod,1,bug,,shed-skin,,,0,50,20,55,25,25,30,205
12,butterfree,1,bug,flying,compound-eyes,,tinted-lens,0,60,45,50,90,80,70,395
13,weedle,1,bug,poison,shield-dust,,run-away,0,40,35,30,20,20,50,195
14,kakuna,1,bug,poison,shed-skin,,,0,45,25,50,25,25,35,205
15,beedrill,1,bug,poison,swarm,,sniper,0,65,90,40,45,80,75,395
16,pidgey,1,normal,flying,keen-eye,tangled-feet,big-pecks,0,40,45,40,35,35,56,251
17,pidgeotto,1,normal,flying,keen-eye,tangled-feet,big-pecks,0,63,60,55,50,50,71,349
18,pidgeot,1,normal,flying,keen-eye,tangled-feet,big-pecks,0,83,80,75,70,70,101,479
19,rattata,1,normal,,run-away,guts,hustle,0,30,56,35,25,35,72,253
20,raticate,1,normal,,run-away,guts,hustle,0,55,81,60,50,70,97,413
21,spearow,1,normal,flying,keen-eye,,sniper,0,40,60,30,31,31,70,262
22,fearow,1,normal,flying,keen-eye,,sniper,0,65,90,65,61,61,100,442
23,ekans,1,poison,,intimidate,shed-skin,unnerve,0,35,60,44,40,54,55,288
24,arbok,1,poison,,intimidate,shed-skin,unnerve,0,60,95,69,65,79,80,448
25,pikachu,1,electric,,static,,lightning-rod,0,35,55,40,50,50,90,320
26,raichu,1,electric,,static,,lightning-rod,0,60,90,55,90,80,110,485
27,sandshrew,1,ground,,sand-veil,,sand-rush,0,50,75,85,20,30,40,300
28,sandslash,1,ground,,sand-veil,,sand-rush,0,75,100,110,45,55,65,450
29,nidoran-f,1,poison,,poison-point,rivalry,hustle,0,55,47,52,40,40,41,275
30,nidorina,1,poison,,poison-point,rivalry,hustle,0,70,62,67,55,55,56,365
31,nidoqueen,1,poison,ground,poison-point,rivalry,sheer-force,0,90,92,87,75,85,76,505
32,nidoran-m,1,poison,,poison-point,rivalry,hustle,0,46,57,40,40,40,50,273
33,nidorino,1,poison,,poison-point,rivalry,hustle,0,61,72,57,55,55,65,365
34,nidoking,1,poison,ground,poison-point,rivalry,sheer-force,0,81,102,77,85,75,85,505
35,clefairy,1,fairy,,cute-charm,magic-guard,friend-guard,0,70,45,48,60,65,35,323
36,clefable,1,fairy,,cute-charm,magic-guard,unaware,0,95,70,73,95,90,60,483
37,vulpix,1,fire,,flash-fire,,drought,0,38,41,40,50,65,65,299
38,ninetales,1,fire,,flash-fire,,drought,0,73,76,75,81,100,100,505
39,jigglypuff,1,normal,fairy,cute-charm,competitive,friend-guard,0,115,45,20,45,25,20,270
40,wigglytuff,1,normal,fairy,cute-charm,competitive,frisk,0,140,70,45,85,50,45,435
41,zubat,1,poison,flying,inner-focus,,infiltrator,0,40,45,35,30,40,55,245
42,golbat,1,poison,flying,inner-focus,,infiltrator,0,75,80,70,65,75,90,455
43,oddish,1,grass,poison,chlorophyll,,run-away,0,45,50,55,75,65,30,320
44,gloom,1,grass,poison,chlorophyll,,stench,0,60,65,70,85,75,40,395
45,vileplume,1,grass,poison,chlorophyll,,effect-spore,0,75,80,85,110,90,50,490
46,paras,1,bug,grass,effect-spore,dry-skin,damp,0,35,70,55,45,55,25,285
47,parasect,1,bug,grass,effect-spore,dry-skin,damp,0,60,95,80,60,80,30,405
48,venonat,1,bug,poison,compound-eyes,tinted-lens,run-away,0,60,55,50,40,55,45,305
49,venomoth,1,bug,poison,shield-dust,tinted-lens,wonder-skin,0,70,65,60,90,75,90,450
50,diglett,1,ground,,sand-veil,arena-trap,sand-force,0,10,55,25,35,45,95,265
51,dugtrio,1,ground,,sand-veil,arena-trap,sand-force,0,35,100,50,50,70,120,425
52,meowth,1,normal,,pickup,technician,unnerve,0,40,45,35,40,40,90,290
53,persian,1,normal,,limber,technician,unnerve,0,65,70,60,65,65,115,440
54,psyduck,1,water,,damp,cloud-nine,swift-swim,0,50,52,48,65,50,55,320
55,golduck,1,water,,damp,cloud-nine,swift-swim,0,80,82,78,95,80,85,500
56,mankey,1,fighting,,vital-spirit,anger-point,defiant,0,40,80,35,35,45,70,305
57,primeape,1,fighting,,vital-spirit,anger-point,defiant,0,65,105,60,60,70,95,455
58,growlithe,1,fire,,intimidate,flash-fire,justified,0,55,70,45,70,50,60,350
59,arcanine,1,fire,,intimidate,flash-fire,justified,0,90,110,80,100,80,95,555
60,poliwag,1,water,,water-absorb,damp,swift-swim,0,40,50,40,40,40,90,300
61,poliwhirl,1,water,,water-absorb,damp,swift-swim,0,65,65,65,50,50,90,385
62,poliwrath,1,water,fighting,water-absorb,damp,swift-swim,0,90,95,95,70,90,70,510
63,abra,1,psychic,,synchronize,inner-focus,magic-guard,0,25,20,15,105,55,90,310
64,kadabra,1,psychic,,synchronize,inner-focus,magic-guard,0,40,35,30,120,70,105,400
65,alakazam,1,psychic,,synchronize,inner-focus,magic-guard,0,55,50,45,135,95,120,500
66,machop,1,fighting,,guts,no-guard,steadfast,0,70,80,50,35,35,35,305
67,machoke,1,fighting,,guts,no-guard,steadfast,0,80,100,70,50,60,45,405
68,machamp,1,fighting,,guts,no-guard,steadfast,0,90,130,80,65,85,55,505
69,bellsprout,1,grass,poison,chlorophyll,,gluttony,0,50,75,35,70,30,40,300
70,weepinbell,1,grass,poison,chlorophyll,,gluttony,0,65,90,50,85,45,55,390
71,victreebel,1,grass,poison,chlorophyll,,gluttony,0,80,105,65,100,70,70,490
72,tentacool,1,water,poison,clear-body,liquid-ooze,rain-dish,0,40,40,35,50,100,70,335
73,tentacruel,1,water,poison,clear-body,liquid-ooze,rain-dish,0,80,70,65,80,120,100,515
74,geodude,1,rock,ground,rock-head,sturdy,sand-veil,0,40,80,100,30,30,20,300
75,graveler,1,rock,ground,rock-head,sturdy,sand-veil,0,55,95,115,45,45,35,390
76,golem,1,rock,ground,rock-head,sturdy,sand-veil,0,80,120,130,55,65,45,495
77,ponyta,1,fire,,run-away,flash-fire,flame-body,0,50,85,55,65,65,90,410
78,rapidash,1,fire,,run-away,flash-fire,flame-body,0,65,100,70,80,80,105,500
79,slowpoke,1,water,psychic,oblivious,own-tempo,regenerator,0,90,65,65,40,40,15,315
80,slowbro,1,water,psychic,oblivious,own-tempo,regenerator,0,95,75,110,100,80,30,490
81,magnemite,1,electric,steel,magnet-pull,sturdy,analytic,0,25,35,70,95,55,45,325
82,magneton,1,electric,steel,magnet-pull,sturdy,analytic,0,50,60,95,120,70,70,465
83,farfetchd,1,normal,flying,keen-eye,inner-focus,defiant,0,52,90,55,58,62,60,377
84,doduo,1,normal,flying,run-away,early-bird,tangled-feet,0,35,85,45,35,35,75,310
85,dodrio,1,normal,flying,run-away,early-bird,tangled-feet,0,60,110,70,60,60,110,470
86,seel,1,water,,thick-fat,hydration,ice-body,0,65,45,55,45,70,45,325
87,dewgong,1,water,ice,thick-fat,hydration,ice-body,0,90,70,80,70,95,70,475
88,grimer,1,poison,,stench,sticky-hold,poison-touch,0,80,80,50,40,50,25,325
89,muk,1,poison,,stench,sticky-hold,poison-touch,0,105,105,75,65,100,50,500
90,shellder,1,water,,shell-armor,skill-link,overcoat,0,30,65,100,45,25,40,305
91,cloyster,1,water,ice,shell-armor,skill-link,overcoat,0,50,95,180,85,45,70,525
92,gastly,1,ghost,poison,levitate,,,0,30,35,30,100,35,80,310
93,haunter,1,ghost,poison,levitate,,,0,45,50,45,115,55,95,405
94,gengar,1,ghost,poison,cursed-body,,,0,60,65,60,130,75,110,500
95,onix,1,rock,ground,rock-head,sturdy,weak-armor,0,35,45,160,30,45,70,385
96,drowzee,1,psychic,,insomnia,forewarn,inner-focus,0,60,48,45,43,90,42,328
97,hypno,1,psychic,,insomnia,forewarn,inner-focus,0,85,73,70,73,115,67,483
98,krabby,1,water,,hyper-cutter,shell-armor,sheer-force,0,30,105,90,25,25,50,325
99,kingler,1,water,,hyper-cutter,shell-armor,sheer-force,0,55,130,115,50,50,75,475
100,voltorb,1,electric,,soundproof,static,aftermath,0,40,30,50,55,55,100,330
101,electrode,1,electric,,soundproof,static,aftermath,0,60,50,70,80,80,150,490
102,exeggcute,1,grass,psychic,chlorophyll,,harvest,0,60,40,80,60,45,40,325
103,exeggutor,1,grass,psychic,chlorophyll,,harvest,0,95,95,85,125,75,55,530
104,cubone,1,ground,,rock-head,lightning-rod,battle-armor,0,50,50,95,40,50,35,320
105,marowak,1,ground,,rock-head,lightning-rod,battle-armor,0,60,80,110,50,80,45,425
106,hitmonlee,1,fighting,,limber,reckless,unburden,0,50,120,53,35,110,87,455
107,hitmonchan,1,fighting,,keen-eye,iron-fist,inner-focus,0,50,105,79,35,110,76,455
108,lickitung,1,normal,,own-tempo,oblivious,cloud-nine,0,90,55,75,60,75,30,385
109,koffing,1,poison,,levitate,neutralizing-gas,stench,0,40,65,95,60,45,35,340
110,weezing,1,poison,,levitate,neutralizing-gas,stench,0,65,90,120,85,70,60,490
111,rhyhorn,1,ground,rock,lightning-rod,rock-head,reckless,0,80,85,95,30,30,25,345
112,rhydon,1,ground,rock,lightning-rod,rock-head,reckless,0,105,130,120,45,45,40,485
113,chansey,1,normal,,natural-cure,serene-grace,healer,0,250,5,5,35,105,50,450
114,tangela,1,grass,,chlorophyll,leaf-guard,regenerator,0,65,55,115,100,40,60,435
115,kangaskhan,1,normal,,early-bird,scrappy,inner-focus,0,105,95,80,40,80,90,490
116,horsea,1,water,,swift-swim,sniper,damp,0,30,40,70,70,25,60,295
117,seadra,1,water,,poison-point,sniper,damp,0,55,65,95,95,45,85,440
118,goldeen,1,water,,swift-swim,water-veil,lightning-rod,0,45,67,60,35,50,63,320
119,seaking,1,water,,swift-swim,water-veil,lightning-rod,0,80,92,65,65,80,68,450
120,staryu,1,water,,illuminate,natural-cure,analytic,0,30,45,55,70,55,85,340
121,starmie,1,water,psychic,illuminate,natural-cure,analytic,0,60,75,85,100,85,115,520
122,mr-mime,1,psychic,fairy,soundproof,filter,technician,0,40,45,65,100,120,90,460
123,scyther,1,bug,flying,swarm,technician,steadfast,0,70,110,80,55,80,105,500
124,jynx,1,ice,psychic,oblivious,forewarn,dry-skin,0,65,50,35,115,95,95,455
125,electabuzz,1,electric,,static,,vital-spirit,0,65,83,57,95,85,105,490
126,magmar,1,fire,,flame-body,,vital-spirit,0,65,95,57,100,85,93,495
127,pinsir,1,bug,,hyper-cutter,mold-breaker,moxie,0,65,125,100,55,70,85,500
128,tauros,1,normal,,intimidate,anger-point,sheer-force,0,75,100,95,40,70,110,490
129,magikarp,1,water,,swift-swim,,rattled,0,20,10,55,15,20,80,200
130,gyarados,1,water,flying,intimidate,,moxie,0,95,125,79,60,100,81,540
131,lapras,1,water,ice,water-absorb,shell-armor,hydration,0,130,85,80,85,95,60,535
132,ditto,1,normal,,limber,,imposter,0,48,48,48,48,48,48,288
133,eevee,1,normal,,run-away,adaptability,anticipation,0,55,55,50,45,65,55,325
134,vaporeon,1,water,,water-absorb,,hydration,0,130,65,60,110,95,65,525
135,jolteon,1,electric,,volt-absorb,,quick-feet,0,65,65,60,110,95,130,525
136,flareon,1,fire,,flash-fire,,guts,0,65,130,60,95,110,65,525
137,porygon,1,normal,,trace,download,analytic,0,65,60,70,85,75,40,395
138,omanyte,1,rock,water,swift-swim,shell-armor,weak-armor,0,35,40,100,90,55,35,355
139,omastar,1,rock,water,swift-swim,shell-armor,weak-armor,0,70,60,125,115,70,55,495
140,kabuto,1,rock,water,swift-swim,battle-armor,weak-armor,0,30,80,90,55,45,55,355
141,kabutops,1,rock,water,swift-swim,battle-armor,weak-armor,0,60,115,105,65,70,80,495
142,aerodactyl,1,rock,flying,rock-head,pressure,unnerve,0,80,105,65,60,75,130,515
143,snorlax,1,normal,,immunity,thick-fat,gluttony,0,160,110,65,65,110,30,540
144,articuno,1,ice,flying,pressure,,snow-cloak,1,90,85,100,95,125,85,580
145,zapdos,1,electric,flying,pressure,,static,1,90,90,85,125,90,100,580
146,moltres,1,fire,flying,pressure,,flame-body,1,90,100,90,125,85,90,580
